video_id,video_title,author,comment_text
LD_Kjh7ZhMU,Are you ready?👀👁️,Brent Monje,Hi
LD_Kjh7ZhMU,Are you ready?👀👁️,Krishna Sahu,Inke pass ye dhan nahi hota to inka kya hota
LD_Kjh7ZhMU,Are you ready?👀👁️,Cristhian Caceres,🥱🥱🥱🥱
LD_Kjh7ZhMU,Are you ready?👀👁️,André Crispim,🤡🐮
LD_Kjh7ZhMU,Are you ready?👀👁️,swamy,iam all so
LD_Kjh7ZhMU,Are you ready?👀👁️,goop,"i dont get it, is this some kind of among us reference?"
LD_Kjh7ZhMU,Are you ready?👀👁️,Rudradev Paul,Want views here&#39;s a gift  🍈🍈^^
LD_Kjh7ZhMU,Are you ready?👀👁️,B2H EDITZ,Tempting
LD_Kjh7ZhMU,Are you ready?👀👁️,Vijesh Patras,Am ever ready darling
LD_Kjh7ZhMU,Are you ready?👀👁️,HIJINX,"this ain’t tiktok, them tricks don’t fly here"
LD_Kjh7ZhMU,Are you ready?👀👁️,240sxRule,Nice looking bed to have on the streets
LD_Kjh7ZhMU,Are you ready?👀👁️,Антон Нербышев,Shit!!!
LD_Kjh7ZhMU,Are you ready?👀👁️,Moyithung Odyuo,Legends just imagine it🌚
LD_Kjh7ZhMU,Are you ready?👀👁️,cornman,how did that bed give her a red dress
LD_Kjh7ZhMU,Are you ready?👀👁️,Reginaldo Leonardo,Linda 💖💋
LD_Kjh7ZhMU,Are you ready?👀👁️,Gurram Satwik,😘
LD_Kjh7ZhMU,Are you ready?👀👁️,Samir Ahmed,Who is she?name please
LD_Kjh7ZhMU,Are you ready?👀👁️,Yours Truly 411,Thought someone was gunna whip it out on her 🤣
LD_Kjh7ZhMU,Are you ready?👀👁️,Darwin Lustado,That&#39;s pure talent and creativity right there
LD_Kjh7ZhMU,Are you ready?👀👁️,young savage,Cringe
LD_Kjh7ZhMU,Are you ready?👀👁️,Vlan Doom,Dang the fatherless behavior these days.
LD_Kjh7ZhMU,Are you ready?👀👁️,_Mn 640,Hahaha holy fuck
LD_Kjh7ZhMU,Are you ready?👀👁️,Ifam Manzoor,Have u shaved
LD_Kjh7ZhMU,Are you ready?👀👁️,Kubejsq Krasniqi,Music name
